year,lake,break_jday,break_date,clear_jday,clear_date,form_jday,form_date,Elevation
1982,Green5,NaN,NaN,207,7/26/82,283,10/10/82,3620
1983,Green5,174,6/23/83,209,7/28/83,286,10/13/83,3620
1984,Green5,173,6/21/84,208,7/26/84,284,10/10/84,3620
1985,Green5,150,5/30/85,193,7/12/85,269,9/26/85,3620
1986,Green5,163,6/12/86,205,7/24/86,289,10/16/86,3620
1987,Green5,134,5/14/87,178,6/27/87,NaN,NaN,3620
1988,Green5,NaN,NaN,NaN,NaN,308,11/3/88,3620
1989,Green5,145,5/25/89,194,7/13/89,299,10/26/89,3620
1990,Green5,165,6/14/90,195,7/14/90,284,10/11/90,3620
1991,Green5,144,5/24/91,195,7/14/91,301,10/28/91,3620
1992,Green5,140,5/19/92,203,7/21/92,299,10/25/92,3620
1993,Green5,145,5/25/93,229,8/17/93,284,10/11/93,3620
1994,Green5,146,5/26/94,183,7/2/94,285,10/12/94,3620
1995,Green5,178,6/27/95,235,8/23/95,278,10/5/95,3620
1996,Green5,163,6/11/96,199,7/17/96,275,10/1/96,3620
1997,Green5,163,6/12/97,211,7/30/97,289,10/16/97,3620
1998,Green5,176,6/25/98,206,7/25/98,281,10/8/98,3620
1999,Green5,163,6/12/99,202,7/21/99,299,10/26/99,3620
2000,Green5,158,6/6/00,190,7/8/00,300,10/26/00,3620
2001,Green5,149,5/29/01,195,7/14/01,284,10/11/01,3620
2002,Green5,150,5/30/02,173,6/22/02,296,10/23/02,3620
2003,Green5,135,5/15/03,199,7/18/03,301,10/28/03,3620
2004,Green5,160,6/8/04,197,7/15/04,295,10/21/04,3620
2005,Green5,144,5/24/05,204,7/23/05,308,11/4/05,3620
2006,Green5,145,5/25/06,189,7/8/06,288,10/15/06,3620
2007,Green5,137,5/17/07,188,7/7/07,293,10/20/07,3620
2008,Green5,154,6/2/08,205,7/23/08,305,10/31/08,3620
2009,Green5,167,6/16/09,203,7/22/09,294,10/21/09,3620
2010,Green5,154,6/3/10,196,7/15/10,292,10/19/10,3620
2011,Green5,NaN,NaN,222,8/10/11,297,10/24/11,3620
2012,Green5,152,5/31/12,176,6/24/12,296,10/22/12,3620
2013,Green5,157,6/6/13,194,7/13/13,285,10/12/13,3620
2014,Green5,137,5/17/14,202,7/21/14,299,10/26/14,3620
2015,Green5,169,6/18/15,193,7/12/15,296,10/23/15,3620
2016,Green5,NaN,NaN,189,7/7/16,310,11/5/16,3620
2017,Green5,NaN,NaN,NaN,NaN,289,10/16/17,3620
1968,Silver,NaN,NaN,NaN,NaN,NaN,NaN,3120
1969,Silver,NaN,NaN,NaN,NaN,NaN,NaN,3120
1970,Silver,NaN,NaN,NaN,NaN,NaN,NaN,3120
1973,Silver,NaN,NaN,NaN,NaN,NaN,NaN,3120
1974,Silver,NaN,NaN,NaN,NaN,NaN,NaN,3120
1981,Silver,NaN,NaN,NaN,NaN,NaN,NaN,3120
1982,Silver,NaN,NaN,NaN,NaN,NaN,NaN,3120
1983,Silver,NaN,NaN,169,6/18/83,NaN,NaN,3120
1984,Silver,NaN,NaN,159,6/7/84,NaN,NaN,3120
1985,Silver,NaN,NaN,150,5/30/85,NaN,NaN,3120
1986,Silver,154,6/3/86,156,6/5/86,NaN,NaN,3120
1987,Silver,NaN,NaN,NaN,NaN,NaN,NaN,3120
1988,Silver,NaN,NaN,NaN,NaN,NaN,NaN,3120
1989,Silver,NaN,NaN,131,5/11/89,NaN,NaN,3120
1990,Silver,151,5/31/90,154,6/3/90,NaN,NaN,3120
1991,Silver,NaN,NaN,144,5/24/91,NaN,NaN,3120
1992,Silver,127,5/6/92,138,5/17/92,308,11/3/92,3120
1993,Silver,140,5/20/93,152,6/1/93,NaN,NaN,3120
1994,Silver,132,5/12/94,135,5/15/94,311,11/7/94,3120
1995,Silver,NaN,NaN,170,6/19/95,NaN,NaN,3120
1996,Silver,NaN,NaN,142,5/21/96,NaN,NaN,3120
1997,Silver,NaN,NaN,147,5/27/97,NaN,NaN,3120
1998,Silver,NaN,NaN,155,6/4/98,NaN,NaN,3120
1999,Silver,NaN,NaN,151,5/31/99,NaN,NaN,3120
2000,Silver,115,4/24/00,135,5/14/00,311,11/6/00,3120
2001,Silver,NaN,NaN,132,5/12/01,359,12/25/01,3120
2002,Silver,NaN,NaN,104,4/14/02,309,11/5/02,3120
2003,Silver,NaN,NaN,149,5/29/03,NaN,NaN,3120
2004,Silver,NaN,NaN,145,5/24/04,316,11/11/04,3120
2005,Silver,130,5/10/05,140,5/20/05,319,11/15/05,3120
2006,Silver,111,4/21/06,130,5/10/06,325,11/21/06,3120
2007,Silver,NaN,NaN,143,5/23/07,320,11/16/07,3120
2008,Silver,NaN,NaN,157,6/5/08,319,11/14/08,3120
2009,Silver,134,5/14/09,140,5/20/09,327,11/23/09,3120
2010,Silver,138,5/18/10,145,5/25/10,NaN,NaN,3120
2011,Silver,145,5/25/10,163,6/12/11,NaN,NaN,3120
2012,Silver,102,4/11/12,108,4/17/12,319,11/14/12,3120
2013,Silver,NaN,NaN,155,6/4/13,309,11/5/13,3120
2014,Silver,119,4/29/14,144,5/24/14,322,11/18/14,3120
2015,Silver,114,4/24/15,141,5/21/15,323,11/19/15,3120
2016,Silver,NaN,NaN,149,5/28/16,NaN,NaN,3120
2017,Silver,NaN,NaN,148,5/28/17,313,11/9/17,3120
